Read new prefs: /home/juan/.config/blender/2.76/config/userpref.blend
read blend: /home/juan/Documents/William/William.blend
Dependency cycle detected:
  Plane.001 depends on Cube.001 through Cloth Collision.
  Cube.001 depends on Plane.001 through Field Collision.

Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.003
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.002
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp.002
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp.001
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane
Fra:0 Mem:103.91M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Text
Fra:0 Mem:111.42M (0.00M, Peak 371.19M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.001
Fra:0 Mem:113.71M (0.00M, Peak 371.19M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Cube.001
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.80 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.80 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Initializing
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.80 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Loading render kernels (may take a few minutes the first time)
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.81 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Waiting for render to start
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.81 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.81 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Shaders
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Background
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Camera
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Copying Transformations to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.00 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Applying Static Transformations
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.00 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes Flags
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.00 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.01 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Computing normals
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.02 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Copying Mesh to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.02 | Mem:11.52M, Peak:11.52M | Scene, RenderLayer | Updating Mesh | Computing attributes
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.03 | Mem:11.52M, Peak:11.52M | Scene, RenderLayer | Updating Mesh | Copying Attributes to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.03 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Building
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.03 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Building BVH
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.30 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.32 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Packing BVH nodes
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.35 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Copying BVH to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.36 | Mem:52.74M, Peak:52.74M | Scene, RenderLayer | Updating Objects Flags
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.36 | Mem:52.74M, Peak:52.74M | Scene, RenderLayer | Updating Images
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.36 | Mem:52.74M, Peak:52.74M | Scene, RenderLayer | Updating Images | Loading wood_texture.jpg
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Camera Volume
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Hair Systems
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Hair settings | Copying Hair settings to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Lookup Tables
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Lights
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Lights | Computing distribution
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Particle Systems
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Particle Systems | Copying Particles to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Film
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Integrator
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Updating Lookup Tables
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Updating Baking
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Updating Device | Writing constant memory
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:21.82 | Remaining:00:47.63 | Mem:97.65M, Peak:99.90M | Scene, RenderLayer | Path Tracing Tile 9/12, Sample 100/100
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:21.82 | Remaining:00:47.63 | Mem:97.90M, Peak:99.90M | Scene, RenderLayer | Path Tracing Tile 10/12, Sample 0/100
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:22.39 | Remaining:00:41.25 | Mem:97.90M, Peak:99.90M | Scene, RenderLayer | Path Tracing Tile 10/12, Sample 32/100
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:23.40 | Remaining:00:30.46 | Mem:97.90M, Peak:99.90M | Scene, RenderLayer | Path Tracing Tile 10/12, Sample 91/100
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:23.55 | Remaining:00:28.92 | Mem:97.65M, Peak:99.90M | Scene, RenderLayer | Path Tracing Tile 10/12, Sample 100/100
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:23.55 | Remaining:00:28.92 | Mem:97.90M, Peak:99.90M | Scene, RenderLayer | Path Tracing Tile 11/12, Sample 0/100
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:24.41 | Remaining:00:20.62 | Mem:97.90M, Peak:99.90M | Scene, RenderLayer | Path Tracing Tile 11/12, Sample 51/100
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:25.30 | Remaining:00:13.30 | Mem:97.65M, Peak:99.90M | Scene, RenderLayer | Path Tracing Tile 11/12, Sample 100/100
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:25.30 | Remaining:00:13.30 | Mem:97.84M, Peak:99.90M | Scene, RenderLayer | Path Tracing Tile 12/12, Sample 0/100
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:25.42 | Remaining:00:12.30 | Mem:97.84M, Peak:99.90M | Scene, RenderLayer | Path Tracing Tile 12/12, Sample 7/100
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:26.43 | Remaining:00:03.91 | Mem:97.84M, Peak:99.90M | Scene, RenderLayer | Path Tracing Tile 12/12, Sample 69/100
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:26.95 | Mem:97.65M, Peak:99.90M | Scene, RenderLayer | Path Tracing Tile 12/12, Sample 100/100
Fra:77 Mem:305.46M (0.00M, Peak 461.85M) | Time:03:26.95 | Mem:97.65M, Peak:99.90M | Scene, RenderLayer | Finished
Fra:77 Mem:305.45M (0.00M, Peak 461.85M) | Time:03:26.97 | Sce: Scene Ve:0 Fa:0 La:0
Saved: /home/juan/Documents/William/0077.png
 Time: 03:27.14 (Saving: 00:00.17)

Fra:78 Mem:332.06M (0.00M, Peak 461.85M) | Time:00:59.98 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.003
Fra:78 Mem:332.06M (0.00M, Peak 461.85M) | Time:00:59.98 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.002
Fra:78 Mem:332.06M (0.00M, Peak 461.85M) | Time:00:59.98 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp.002
Fra:78 Mem:332.06M (0.00M, Peak 461.85M) | Time:00:59.98 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp.001
Fra:78 Mem:332.06M (0.00M, Peak 461.85M) | Time:00:59.98 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane
Fra:78 Mem:332.06M (0.00M, Peak 461.85M) | Time:00:59.98 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Text
Fra:78 Mem:332.06M (0.00M, Peak 461.85M) | Time:00:59.98 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.001
Fra:78 Mem:332.06M (0.00M, Peak 461.85M) | Time:00:59.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Cube.001
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.75 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.75 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Initializing
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.75 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Loading render kernels (may take a few minutes the first time)
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.77 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Waiting for render to start
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.77 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.77 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Shaders
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.92 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Background
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.92 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Camera
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.92 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.92 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Copying Transformations to device
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.97 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Applying Static Transformations
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.97 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes Flags
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:00.97 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.02 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Computing normals
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Copying Mesh to device
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.04 | Mem:21.78M, Peak:21.78M | Scene, RenderLayer | Updating Mesh | Computing attributes
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.05 | Mem:21.78M, Peak:21.78M | Scene, RenderLayer | Updating Mesh | Copying Attributes to device
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.07 | Mem:49.00M, Peak:49.00M | Scene, RenderLayer | Updating Scene BVH | Building
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.07 | Mem:49.00M, Peak:49.00M | Scene, RenderLayer | Updating Scene BVH | Building BVH
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.37 | Mem:49.00M, Peak:49.00M | Scene, RenderLayer | Updating Scene BVH | Building BVH 38%, duplicates 0%
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.54 | Mem:49.00M, Peak:49.00M | Scene, RenderLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.57 | Mem:49.00M, Peak:49.00M | Scene, RenderLayer | Updating Scene BVH | Packing BVH nodes
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.63 | Mem:49.00M, Peak:49.00M | Scene, RenderLayer | Updating Scene BVH | Copying BVH to device
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.64 | Mem:95.26M, Peak:95.26M | Scene, RenderLayer | Updating Objects Flags
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.64 | Mem:95.26M, Peak:95.26M | Scene, RenderLayer | Updating Images
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.64 | Mem:95.26M, Peak:95.26M | Scene, RenderLayer | Updating Images | Loading wood_texture.jpg
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.65 | Mem:97.89M, Peak:97.89M | Scene, RenderLayer | Updating Camera Volume
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.65 | Mem:97.89M, Peak:97.89M | Scene, RenderLayer | Updating Hair Systems
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:97.89M, Peak:97.89M | Scene, RenderLayer | Updating Hair settings | Copying Hair settings to device
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:97.89M, Peak:97.89M | Scene, RenderLayer | Updating Lookup Tables
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:98.14M, Peak:98.14M | Scene, RenderLayer | Updating Lights
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:98.14M, Peak:98.14M | Scene, RenderLayer | Updating Lights | Computing distribution
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:98.14M, Peak:98.14M | Scene, RenderLayer | Updating Particle Systems
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:98.14M, Peak:98.14M | Scene, RenderLayer | Updating Particle Systems | Copying Particles to device
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:98.14M, Peak:98.14M | Scene, RenderLayer | Updating Film
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:98.14M, Peak:98.14M | Scene, RenderLayer | Updating Integrator
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:98.17M, Peak:98.17M | Scene, RenderLayer | Updating Lookup Tables
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:98.17M, Peak:98.17M | Scene, RenderLayer | Updating Baking
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:98.17M, Peak:98.17M | Scene, RenderLayer | Updating Device | Writing constant memory
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:98.17M, Peak:98.17M | Scene, RenderLayer | Path Tracing Tile 0/12, Sample 0/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:01.66 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 0/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:02.84 | Remaining:06:51.17 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 6/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:03.86 | Remaining:05:33.36 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 11/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:05.00 | Remaining:04:54.18 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 17/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:06.15 | Remaining:04:35.34 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 23/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:07.32 | Remaining:04:24.42 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 29/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:08.49 | Remaining:04:17.04 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 35/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:09.62 | Remaining:04:10.02 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 41/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:10.74 | Remaining:04:04.47 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 47/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:11.87 | Remaining:04:00.24 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 53/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:13.00 | Remaining:03:56.58 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 59/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:14.15 | Remaining:03:53.58 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 65/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:15.27 | Remaining:03:50.47 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 71/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:16.40 | Remaining:03:48.00 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 77/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:17.52 | Remaining:03:45.44 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 83/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:18.65 | Remaining:03:43.20 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 89/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:19.81 | Remaining:03:41.48 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 95/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:20.74 | Remaining:03:39.68 | Mem:98.17M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 100/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:20.75 | Remaining:03:39.71 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 0/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:20.96 | Remaining:03:39.70 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 1/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:22.04 | Remaining:03:39.48 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 6/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:23.12 | Remaining:03:39.29 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 11/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:24.21 | Remaining:03:39.03 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 16/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:25.26 | Remaining:03:38.34 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 21/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:26.31 | Remaining:03:37.72 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 26/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:27.39 | Remaining:03:37.24 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 31/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:28.45 | Remaining:03:36.56 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 36/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:29.45 | Remaining:03:35.43 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 41/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:30.48 | Remaining:03:34.47 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 46/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:31.48 | Remaining:03:33.36 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 51/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:32.56 | Remaining:03:32.76 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 56/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:33.58 | Remaining:03:31.71 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 61/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:34.67 | Remaining:03:31.15 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 66/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:35.71 | Remaining:03:30.26 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 71/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:36.81 | Remaining:03:29.68 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 76/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:37.89 | Remaining:03:28.96 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 81/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:38.96 | Remaining:03:28.21 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 86/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:40.03 | Remaining:03:27.41 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 91/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:41.13 | Remaining:03:26.73 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 96/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:41.99 | Remaining:03:26.10 | Mem:98.17M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 100/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:42.00 | Remaining:03:26.11 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 0/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:42.19 | Remaining:03:25.85 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 1/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:43.21 | Remaining:03:24.79 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 6/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:44.24 | Remaining:03:23.73 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 11/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:45.28 | Remaining:03:22.75 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 16/100
Fra:78 Mem:307.33M (0.00M, Peak 464.53M) | Time:01:46.45 | Remaining:03:21.22 | Mem:100.42M, Peak:100.42M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 22/100
